Yr,State,Population
1999,Alabama,4439314
1999,Alaska,322804
1999,Arizona,4893695
1999,Arkansas,2863222
1999,California,28590303
1999,Colorado,3381641
1999,Connecticut,3759704
1999,Delaware,756125
1999,District of Columbia,558815
1999,Florida,20081693
1999,Georgia,6428438
1999,Hawaii,1200639
1999,Idaho,1160810
1999,Illinois,11980555
1999,Indiana,5916658
1999,Iowa,3523189
1999,Kansas,2885509
1999,Kentucky,3916044
1999,Louisiana,4036609
1999,Maine,1415983
1999,Maryland,4750717
1999,Massachusetts,6859108
1999,Michigan,9518987
1999,Minnesota,4912301
1999,Mississippi,2701265
1999,Missouri,5918624
1999,Montana,947761
1999,Nebraska,1876762
1999,Nevada,1611497
1999,New Hampshire,1169467
1999,New Jersey,8665925
1999,New Mexico,1623842
1999,New York,19189705
1999,North Carolina,7459807
1999,North Dakota,765939
1999,Ohio,11618522
1999,Oklahoma,3544433
1999,Oregon,3512655
1999,Pennsylvania,14534025
1999,Rhode Island,1202229
1999,South Carolina,3703441
1999,South Dakota,860094
1999,Tennessee,5483986
1999,Texas,16564178
1999,United States,273115464
1999,Utah,1542733
1999,Vermont,614221
1999,Virginia,6218525
1999,Washington,5381548
1999,West Virginia,2079324
1999,Wisconsin,5612989
1999,Wyoming,451418
2000,Alabama,4484674
2000,Alaska,335289
2000,Arizona,4997532
2000,Arkansas,2887831
2000,California,29134535
2000,Colorado,3445020
2000,Connecticut,3799369
2000,Delaware,766358
2000,District of Columbia,565492
2000,Florida,20350953
2000,Georgia,6510703
2000,Hawaii,1226513
2000,Idaho,1181492
2000,Illinois,12076331
2000,Indiana,5966975
2000,Iowa,3530892
2000,Kansas,2906173
2000,Kentucky,3955938
2000,Louisiana,4088045
2000,Maine,1437515
2000,Maryland,4813841
2000,Massachusetts,6930065
2000,Michigan,9616567
2000,Minnesota,4954647
2000,Mississippi,2724023
2000,Missouri,5958406
2000,Montana,960038
2000,Nebraska,1886735
2000,Nevada,1661152
2000,New Hampshire,1189086
2000,New Jersey,8773164
2000,New Mexico,1660277
2000,New York,19444813
2000,North Carolina,7550646
2000,North Dakota,768706
2000,Ohio,11708175
2000,Oklahoma,3568566
2000,Oregon,3556625
2000,Pennsylvania,14666779
2000,Rhode Island,1217312
2000,South Carolina,3769435
