State,state-wide smoking ban,Year smoking ban instituted
United States,no,none
Alabama,no,none
Alaska,no,none
Arizona,yes,2007
Arkansas,yes,2006
California,yes,1995
Colorado,yes,2006
Connecticut,yes,2003
Delaware,yes,2002
District of Columbia,yes,2007
Florida,yes,2003
Georgia,no,none
Hawaii,yes,2006
Idaho,no,none
Illinois,yes,2008
Indiana,no,none
Iowa,yes,2008
Kansas,yes,2010
Kentucky,no,none
Louisiana,no,none
Maine,yes,2004
Maryland,yes,2008
Massachusetts,yes,2004
Michigan,yes,2010
Minnesota,yes,2007
Mississippi,no,none
Missouri,no,none
Montana,yes,2009
Nebraska,yes,2009
Nevada,yes,2006
New Hampshire,yes,2007
New Jersey,yes,2006
New Mexico,yes,2007
New York,yes,2003
North Carolina,yes,2010
North Dakota,yes,2012
Ohio,yes,2006
Oklahoma,no,none
Oregon,yes,2009
Pennsylvania,yes,2008
Rhode Island,yes,2005
South Carolina,no,none
South Dakota,yes,2010
Tennessee,no,none
Texas,no,none
Utah,yes,2007
Vermont,yes,2005
Virginia,no,none
Washington,yes,2005
West Virginia,no,none
Wisconsin,yes,2010
Wyoming,no,none
